name,neighborhood,address,phone,reviews
Dragon Beaux,Outer Richmond,5700 Geary Blvd,(415) 333-8899,1110
Gracias Madre,Mission,2211 Mission St,(415) 683-1346,2886
Leopold’s,Russian Hill,2400 Polk St,(415) 474-2000,979
Troya,Pacific Heights,2125 Fillmore St,(415) 563-1000,458
Baker Street Bistro,Marina/Cow Hollow,2953 Baker St,(415) 931-1475,573
Gilberth’s Latin Fusion Restaurant,Dogpatch,2427 3rd St,(415) 913-7163,293
Khai,Mission Bay,655 Townsend St,(415) 724-2325,110
The Richmond,Inner Richmond,615 Balboa St,(415) 379-8988,642
The Game Parlour,Inner Sunset,1342 Irving St,(415) 571-8569,91
Woodhouse Fish Company,Lower Pacific Heights,1914 Fillmore St,(415) 437-2722,2052
Chez Maman West,Hayes Valley,401 Gough St,(415) 355-9067,969
Castagna,Marina/Cow Hollow,2015 Chestnut St,(415) 440-4290,339
Franciscan Crab Restaurant,Fisherman's Wharf,Pier 43 1/2 Fisherman's Wharf,(415) 362-7733,1549
Aliment,Nob Hill,786 Bush St,(415) 829-2737,507
Oasis Grill,Financial District,91 Drumm St,(415) 781-0313,1174
E&O Kitchen and Bar,Union Square,314 Sutter St,(415) 693-0303,872
AVERY,Western Addition,1552 Fillmore St,(415) 817-1187,36
Lao Table,Financial District,149 2nd St,(415) 278-9991,583
Albona Ristorante Istriano,North Beach/Telegraph Hill,545 Francisco St,(415) 441-1040,654
Mr East Kitchen,SoMa,276 Fifth St,(415) 658-7335,29
Poesia,Castro,4072 18th St,(415) 252-9325,717
The Meatball Bar,Hayes Valley,602 Hayes St,(415) 872-9079,94
Saucy Asian,Castro,3801 17th St,(415) 834-5555,216
Souvla,NoPa,531 Divisadero St,(415) 400-5458,329
House Of Pancakes,Parkside,937 Taraval St,(415) 681-8388,780
Revelry Bistro,Hayes Valley,297 Page St,(415) 241-6833,167
Dinosaurs,Castro,2275 Market St,(415) 503-1421,849
Dottie’s True Blue Cafe,SoMa,28 6th St,(415) 885-2767,4055
The Alembic,The Haight,1725 Haight St,(415) 666-0822,1636
Nopalito,Inner Sunset,1224 9th Ave,(415) 233-9966,1145
Iza Ramen Lower Haight,Lower Haight,237 Fillmore St,(415) 926-8173,547
Tanguito,Fisherman's Wharf,2850 Jones St,(415) 577-4223,552
BIX,Financial District,56 Gold St,(415) 433-6300,1683
Octavia,Lower Pacific Heights,1701 Octavia St,(415) 408-7507,442
Volcano,Outer Richmond,5454 Geary Blvd,(415) 752-7671,1024
Mazzat,Hayes Valley,501 Fell St,(415) 525-3901,445
Bella Trattoria,Inner Richmond,3854 Geary Blvd,(415) 221-0305,1239
Burma Love,Mission,211 Valencia St,(415) 861-2100,884
Laksa,Mission,1005 Guerrero St,(415) 913-7396,218
The Buena Vista,Russian Hill,2765 Hyde St,(415) 474-5044,2267
Hoffmann’s Grill & Rotisserie,Mission,1000 Guerrero St,(415) 374-7479,203
Bistro Central Parc,NoPa,560 Central Ave,(415) 931-7272,895
Parada 22,The Haight,1805 Haight St,(415) 750-1111,1054
School Night,Dogpatch,601 19th St,(415) 903-5427,47
Tartine Bakery & Cafe,Mission,600 Guerrero St,(415) 487-2600,7295
The Dorian,Marina/Cow Hollow,2001 Chestnut St,(415) 814-2671,390
Hollywood Cafe,Fisherman's Wharf,530 North Point St,(415) 563-3779,1855
Betty Lou’s Seafood & Grill,North Beach/Telegraph Hill,318 Columbus Ave,(415) 757-0569,400
The Progress,Western Addition,1525 Fillmore St,(415) 673-1294,714
Mission Beach Cafe,Mission,198 Guerrero St,(415) 861-0198,2562
Khamsa,Mission,1503 15th St,(628) 233-1503,129
54 Mint - Ristorante Italiano,SoMa,16 Mint Plz,(415) 543-5100,1034
Bask,Financial District,42 Columbus Ave,(415) 392-2275,539
August 1 Five,Civic Center,524 Van Ness Ave,(415) 771-5900,548
Bacco,Noe Valley,737 Diamond St,(415) 282-4969,430
Fayala,Financial District,215 Fremont St,(415) 757-0444,200
Farmerbrown,Union Square,25 Mason St,(415) 409-3276,3408
Tommy’s Joynt,Fillmore,1101 Geary Blvd,(415) 775-4216,2672
Delarosa,Union Square,37 Yerba Buena Ln,(415) 872-7363,873
DragonEats,The Haight,1671 Haight St,(415) 522-6689,145
Chambers,Tenderloin,601 Eddy St,(415) 496-5178,901
Plow,Potrero Hill,1299 18th St,(415) 821-7569,2280
Slurp Ramen,Chinatown,710 Commercial St,(415) 399-1042,370
Finn Town,Castro,2251 Market St,(415) 626-3466,325
Alegrias,Marina/Cow Hollow,2018 Lombard St,(415) 929-8888,725
Venus Cafe,Inner Richmond,700 Clement St,(415) 964-8888,37
Cotogna,Financial District,490 Pacific Ave,(415) 775-8508,1287
Hunan Home’s Restaurant,Chinatown,622 Jackson St,(415) 982-2844,1868
Mochica,Potrero Hill,1469 18th St,(415) 278-0480,366
Zarzuela,Russian Hill,2000 Hyde St,(415) 346-0800,1056
Izakaya Roku,Mission,1819 Market St,(415) 861-6500,394
Halu,Inner Richmond,312 8th Ave,(415) 221-9165,836
Cioppino’s,Fisherman's Wharf,400 Jefferson St,(415) 775-9311,1425
Waterbar,Embarcadero,399 The Embarcadero,(415) 284-9922,2756
Lazy Bear,Mission,3416 19th St,(415) 874-9921,486
Me & Tasty,Castro,3970 17th St,(415) 923-8498,215
Super Duper Burgers,Duboce Triangle,2304 Market St,(415) 558-8123,1190
The Monk’s Kettle,Mission,3141 16th St,(415) 865-9523,2069
Old Bus Tavern,Bernal Heights,3193 Mission St,(415) 843-1938,160
Alamo Square Seafood Grill,Alamo Square,803 Fillmore St,(415) 440-2828,605
The Rotunda,Union Square,150 Stockton St,(415) 249-2720,1484
Paprika,Mission,3324 24th St,(415) 375-1477,353
Breakfast at Tiffany’s,Portola,2499 San Bruno Ave,(415) 468-8805,746
R&G Lounge,Chinatown,631 Kearny St,(415) 982-7877,4054
Amélie,Nob Hill,1754 Polk St,(415) 292-6916,1276
The Little Chihuahua,Lower Haight,292 Divisadero St,(415) 255-8225,1386
Uva Enoteca,Lower Haight,568 Haight St,(415) 829-2024,881
Mikkeller Bar,Union Square,34 Mason St,(415) 984-0279,1097
Papito Hayes,Hayes Valley,425 Hayes St,(415) 554-0541,465
Rambler,Union Square,545 Post St,(415) 549-8008,370
Orchids Cafe,Ingleside,1031 Ocean Ave,(415) 333-8668,48
Pera,Potrero Hill,1457 18th St,(415) 796-3812,547
Swan Oyster Depot,Nob Hill,1517 Polk St,(415) 673-1101,2496
Tratto,Tenderloin,501 Geary St,(415) 292-0101,347
KoJa Kitchen,Inner Richmond,343 Clement St,(415) 463-5085,544
Tacorgasmico,Castro,2337 Market St,(415) 565-0655,201
Truly Mediterranean,Mission,3109 16th St,(415) 252-7482,1129
The Crew,Outer Sunset,1330 Noriega St,(415) 665-8548,376
Bobo’s,Marina/Cow Hollow,1450 Lombard St,(415) 441-8880,1916
Orexi,West Portal,243 W Portal Ave,(415) 664-6739,320
The Fly Trap,Financial District,606 Folsom St,(415) 243-0580,940
Presidio Social Club,Presidio,563 Ruger St,(415) 885-1888,1066
The Pub At Ghirardelli Square,Russian Hill,851 Beach St,(415) 351-0500,822
Piqueo’s,Bernal Heights,830 Cortland Ave,(415) 282-8812,604
Commonwealth,Mission,2224 Mission St,(415) 355-1500,988
Alma Cocina,Mission,2801 Folsom St,(415) 341-0389,175
Jardiniere,Hayes Valley,300 Grove St,(415) 861-5555,1585
Pier Market Seafood Restaurant,Fisherman's Wharf,Pier 39,(415) 989-7437,1356
Locanda,Mission,557 Valencia St,(415) 863-6800,934
Freshroll Vietnamese Rolls & Bowls,SoMa,157 4th St,(415) 348-1858,1095
Acquerello,Nob Hill,1722 Sacramento St,(415) 567-5432,1015
Bolin Barbeque,Marina/Cow Hollow,1979 Union St,(415) 650-6773,31
B Star Bar,Inner Richmond,127 Clement St,(415) 933-9900,1738
The Slanted Door,Embarcadero,1 Ferry Bldg,(415) 861-8032,5271
Rooster & Rice,Marina/Cow Hollow,2211 Filbert St,(415) 776-3647,381
MaMa Ji’s,Castro,4416 18th St,(415) 626-4416,685
Ly’s Vietnamese Cuisine,Marina/Cow Hollow,1779 Lombard St,(415) 563-1927,352
Ichiraku Ramen,Inner Richmond,5336 Geary Blvd,(415) 813-0878,75
Z & Y Restaurant,Chinatown,655 Jackson St,(415) 981-8988,1364
Tonga Room & Hurricane Bar,Nob Hill,950 Mason St,(415) 772-5278,2429
Gardenias,Lower Pacific Heights,1963 Sutter St,(415) 621-7122,101
Emmy’s Spaghetti Shack,Bernal Heights,3230 Mission St,(415) 206-2086,382
Mathilde French Bistro,SoMa,315 5th St,(415) 546-6128,173
Begoni Bistro,Chinatown,615 Jackson St,(415) 757-0120,454
Rocco’s Café,SoMa,1131 Folsom St,(415) 554-0522,858
Seokyo,Noe Valley,1740 Church St,(415) 875-9881,71
La Mediterranee,Pacific Heights,2210 Fillmore St,(415) 921-2956,1398
Jang Soo BBQ,Outer Richmond,6314 Geary Blvd,(415) 221-8282,491
Dispensa Italian Charcoal Kitchen,Tenderloin,39 Taylor St,(415) 896-4021,46
Street Taco,The Haight,1607 Haight St,(415) 525-4435,503
4505 Burgers & BBQ,NoPa,705 Divisadero St,(415) 231-6993,1347
La Folie,Russian Hill,2316 Polk St,(415) 776-5577,1409
The Snug,Pacific Heights,2301 Fillmore St,(415) 562-5092,109
Limoncello,Lower Pacific Heights,1400 Sutter St,(415) 638-6361,214
Sessions at the Presidio,Presidio,1 Letterman Dr,(415) 655-9413,402
Uma Casa,Noe Valley,1550 Church St,(415) 829-2264,198
Maybeck’s,Marina/Cow Hollow,3213 Scott St,(415) 400-8500,250
Queen’s Louisiana Po-Boy Cafe,North Beach/Telegraph Hill,Pier 33 N The Embarcadero,(415) 397-1507,526
DOSA on Fillmore,Lower Pacific Heights,1700 Fillmore St,(415) 441-3672,2757
Pica Pica Arepa Kitchen,Mission,401 Valencia St,(628) 400-5744,1346
Mozzeria,Mission,3228 16th St,(415) 489-0963,663
Sauce Gough,Hayes Valley,131 Gough St,(415) 252-1369,1105
Hollow Cow,Marina/Cow Hollow,1875 Union St,(415) 655-9262,156
Caffe Macaroni,Financial District,59 Columbus Ave,(415) 956-9737,503
Manzoni,Glen Park,2788 Diamond St,(415) 334-2251,212
Chubby Noodle,North Beach/Telegraph Hill,1310 Grant St,(415) 296-9600,382
Fondue Cowboy,SoMa,1052 Folsom St,(415) 431-5100,525
Cordon Bleu,Nob Hill,1574 California St,(415) 673-5637,993
La Taqueria,Mission,2889 Mission St,(415) 285-7117,3523
Golden Burma,Mission Bay,15 Boardman St,(415) 735-8282,90
BARZOTTO,Mission,1270 Valencia St,(415) 285-1200,396
Le Soleil,Inner Richmond,133 Clement St,(415) 668-4848,480
SPQR,Lower Pacific Heights,1911 Fillmore St,(415) 771-7779,1842
Stone Bowl Plus,Lower Haight,509 Haight St,(415) 834-5025,136
Media Noche,Mission,3465 19th St,(415) 655-3904,255
Tadich Grill,Financial District,240 California St,(415) 391-1849,2168
Perilla,Inner Sunset,836 Irving St,(415) 564-9980,1120
Nute’s,Bernal Heights,903 Cortland Ave,(415) 260-0192,127
Bite,Lower Nob Hill,912 Sutter St,(415) 563-2483,654
Pacific Cafe,Outer Richmond,7000 Geary Blvd,(415) 387-7091,692
Golden Boy Pizza,North Beach/Telegraph Hill,542 Green St,(415) 982-9738,3018
Live Sushi Bar,Potrero Hill,2001 17th St,(415) 861-8610,1164
Maven,Lower Haight,598 Haight St,(415) 829-7982,640
DragonEats,Hayes Valley,520 Gough St,(415) 795-1469,324
Fillmore Social Club,Western Addition,1521 Eddy St,(415) 829-3750,148
Birba,Hayes Valley,458 Grove St,(415) 549-7612,87
Fringale,Mission Bay,570 4th St,(415) 543-0573,1032
O-Toro Sushi,Hayes Valley,205 Oak St,(415) 553-3986,752
Grubbin’,Parkside,1404 Taraval St,(415) 688-7116,417
Minas Brazilian Restaurant,Hayes Valley,41 Franklin St,(415) 626-8727,315
AL’s Place,Mission,1499 Valencia St,(415) 416-6136,617
Horsefeather,Alamo Square,528 Divisidero St,(415) 817-1939,186
Frascati,Russian Hill,1901 Hyde St,(415) 928-1406,1139
Shizen Vegan Sushi Bar & Izakaya,Mission,370 14th St,(415) 678-5767,1152
Garibaldi’s,Presidio Heights,347 Presidio Ave,(415) 563-8841,518
Palomino,Embarcadero,345 Spear St,(415) 512-7400,2445
Yummy Yummy,Inner Sunset,1015 Irving St,(415) 566-4722,1303
Aria Korean Tapas,Lower Nob Hill,932 Larkin St,(415) 292-6914,472
barvale,NoPa,661 Divisadero,(415) 654-5211,171
Diane’s Bloody Mary,Marina/Cow Hollow,2120 Greenwich St,(415) 625-5470,22
Papito Potrero Hill,Potrero Hill,317 Connecticut St,(415) 695-0147,623
Golden Star Vietnamese Restaurant,Chinatown,11 Walter U Lum Pl,(415) 398-1215,1153
Kaiju Eats Ramen and Izakaya,Laurel Heights,3409 Geary Blvd,(415) 742-4309,618
Craftsman and Wolves,Mission,746 Valencia St,(415) 913-7713,1394
Delarosa,Marina/Cow Hollow,2175 Chestnut St,(415) 673-7100,1361
Blush!,Castro,476 Castro St,(415) 558-0893,279
Twenty Five Lusk,Mission Bay,25 Lusk St,(415) 495-5875,1333
La Briciola,South Beach,489 3rd St,(415) 512-0300,846
Orphan Andy’s,Castro,3991 17th St,(415) 864-9795,849
Rosamunde Sausage Grill - San Francisco,Lower Haight,545 Haight St,(415) 437-6851,1541
Ramen Yamadaya,Japantown,1728 Buchanan St,(415) 359-9983,1184
Basil Canteen,SoMa,1489 Folsom St,(415) 552-3963,504
Mandalay,Inner Richmond,4348 California St,(415) 386-3896,1955
Picaro,Mission,3120 16th St,(415) 431-4089,1402
True Laurel,Mission,753 Alabama St,(415) 341-0020,111
Barnzu,Tenderloin,711 Geary St,(415) 525-4985,130
Canela Bistro & Wine Bar,Duboce Triangle,2272 Market St,(415) 552-3000,566
Mangiare SF,Bayview-Hunters Point,301 Executive Park Blvd,(650) 608-1432,102
The Tipsy Pig,Marina/Cow Hollow,2231 Chestnut St,(415) 292-2300,1449
Arguello,Presidio,50 Moraga Ave,(415) 561-3650,266
Yamo,Mission,3406 18th St,(415) 553-8911,1865
Pearl,Outer Richmond,6101 California St,(415) 592-9777,73
Red Hill Station,Bernal Heights,803 Cortland Ave,(415) 757-0480,353
JIJIME,Outer Richmond,5524 Geary Blvd,(415) 221-5353,111
Cafe Bunn Mi,Inner Richmond,417 Clement St,(415) 668-8908,1130
MARUGAME UDON,Stonestown,3251 20th Ave,(415) 680-1280,863
Tselogs,Tenderloin,552 Jones St,(415) 658-7142,443
MAC’D,Marina/Cow Hollow,3347 Fillmore St,(415) 795-1026,516
One Waan,Sunnyside,2922 Diamond St,(415) 586-6742,129
